,title,time,link,tag
0,European Shares Subdued On Italy Concerns,2018-10-09 06:22:00,https://www.nasdaq.com/article/european-shares-subdued-on-italy-concerns-20181009-00215,[]
1,China says efforts to control African swine fever outbreak in pivotal phase,2018-10-09 06:07:00,https://www.nasdaq.com/article/china-says-efforts-to-control-african-swine-fever-outbreak-in-pivotal-phase-20181009-00204,"Stocks,Economy,Banking and Loans"
2,Nearly 40% of Millennials Believe Retirement Saving Can Wait,2018-10-09 06:06:00,https://www.nasdaq.com/article/nearly-40-of-millennials-believe-retirement-saving-can-wait-cm1033914,"Stocks,Economy,Banking and Loans"
3,Axon Introduces Next-Generation Devices and Pricing,2018-10-09 06:04:00,https://www.nasdaq.com/article/axon-introduces-next-generation-devices-and-pricing-cm1033915,"Stocks,Economy,Banking and Loans"
4,FTSE 100 Listless; Resource Stocks Climb,2018-10-09 06:01:00,https://www.nasdaq.com/article/ftse-100-listless-resource-stocks-climb-20181009-00199,"Stocks,Economy,Banking and Loans"
5,When strangers spill their financial secrets,2018-10-09 06:00:00,https://www.nasdaq.com/article/when-strangers-spill-their-financial-secrets-20181009-00214,"Stocks,Economy,Banking and Loans"
6,This Is the Only Artificial Intelligence Stock You Need,2018-10-09 06:00:00,https://www.nasdaq.com/article/this-is-the-only-artificial-intelligence-stock-you-need-cm1033917,"Stocks,Economy,Banking and Loans"
7,3 Top Small-Cap Stocks to Buy in October,2018-10-09 06:00:00,https://www.nasdaq.com/article/3-top-small-cap-stocks-to-buy-in-october-cm1033919,"Stocks,Economy,Banking and Loans"
8,"Netflix to Bring ""Choose Your Own Adventure"" Option to Adult Programming in 2018",2018-10-09 06:00:00,https://www.nasdaq.com/article/netflix-to-bring-choose-your-own-adventure-option-to-adult-programming-in-2018-cm1033921,"Stocks,Economy,Banking and Loans"
9,Ford picks BBDO as lead creative agency in blow to Britain's WPP,2018-10-09 05:59:00,https://www.nasdaq.com/article/ford-picks-bbdo-as-lead-creative-agency-in-blow-to-britains-wpp-20181009-00213,"Stocks,Economy,Banking and Loans"
10,"U.N. urges Turkey, Saudi Arabia to investigate journalist disappearance",2018-10-09 05:56:00,https://www.nasdaq.com/article/un-urges-turkey-saudi-arabia-to-investigate-journalist-disappearance-20181009-00210,"Stocks,Economy,Banking and Loans"
11,Amir Yaron chosen as Bank of Israel governor - Israeli news site,2018-10-09 05:56:00,https://www.nasdaq.com/article/amir-yaron-chosen-as-bank-of-israel-governor--israeli-news-site-20181009-00209,"Stocks,Economy,Banking and Loans"
12,Nigeria's cenbank head to meet MTN and banks over $8.1 bln repatriation row,2018-10-09 05:47:00,https://www.nasdaq.com/article/nigerias-cenbank-head-to-meet-mtn-and-banks-over-81-bln-repatriation-row-20181009-00212,"Stocks,Economy,Banking and Loans"
13,Starbucks Got a New CFO and Analysts Have 'Mixed Emotions',2018-10-09 05:45:00,https://www.nasdaq.com/article/starbucks-got-a-new-cfo-and-analysts-have-mixed-emotions-cm1033913,"Stocks,Economy,Banking and Loans"
14,Turkey detains 90 over alleged links to Kurdish militants,2018-10-09 05:41:00,https://www.nasdaq.com/article/turkey-detains-90-over-alleged-links-to-kurdish-militants-20181009-00208,"Stocks,Economy,Banking and Loans"
15,"Italy's Tria calls for ""constructive dialogue"" with EU over budget",2018-10-09 05:30:00,https://www.nasdaq.com/article/italys-tria-calls-for-constructive-dialogue-with-eu-over-budget-20181009-00171,"Stocks,Economy,Banking and Loans"
16,CAC 40 Holds Steady; Italy In Focus,2018-10-09 05:26:00,https://www.nasdaq.com/article/cac-40-holds-steady-italy-in-focus-20181009-00165,"Stocks,Economy,Banking and Loans"
17,China says African swine fever outbreak remains severe,2018-10-09 05:25:00,https://www.nasdaq.com/article/china-says-african-swine-fever-outbreak-remains-severe-20181009-00176,"Stocks,Economy,Banking and Loans"
18,"Brexit deal possible in weeks, says N.Irish party that props up May",2018-10-09 05:24:00,https://www.nasdaq.com/article/brexit-deal-possible-in-weeks-says-nirish-party-that-props-up-may-20181009-00201,"Stocks,Economy,Banking and Loans"
19,Sizzling summer boosts sales at UK baker Greggs,2018-10-09 05:22:00,https://www.nasdaq.com/article/sizzling-summer-boosts-sales-at-uk-baker-greggs-20181009-00200,"Stocks,Economy,Banking and Loans"
20,European stocks find footing after Asia drops to 17-month low,2018-10-09 05:21:00,https://www.nasdaq.com/article/european-stocks-find-footing-after-asia-drops-to-17month-low-20181009-00169,"Stocks,Economy,Banking and Loans"
21,"European shares stay at 6-month lows on Italy, lingering growth concerns",2018-10-09 05:17:00,https://www.nasdaq.com/article/european-shares-stay-at-6month-lows-on-italy-lingering-growth-concerns-20181009-00164,"Stocks,Economy,Banking and Loans"
22,Brent falls as fund managers take profits after rally: John Kemp,2018-10-09 05:16:00,https://www.nasdaq.com/article/brent-falls-as-fund-managers-take-profits-after-rally-john-kemp-20181009-00163,"Stocks,Economy,Banking and Loans"
23,Fire in SAIL's central Indian steel plant kills at least 9,2018-10-09 05:16:00,https://www.nasdaq.com/article/fire-in-sails-central-indian-steel-plant-kills-at-least-9-20181009-00162,"Stocks,Economy,Banking and Loans"
24,DAX Little Changed In Cautious Trade,2018-10-09 05:15:00,https://www.nasdaq.com/article/dax-little-changed-in-cautious-trade-20181009-00159,"Stocks,Economy,Banking and Loans"
25,Emerging stocks dip near 17-month lows; Turkish inflation plan awaited,2018-10-09 05:13:00,https://www.nasdaq.com/article/emerging-stocks-dip-near-17month-lows-turkish-inflation-plan-awaited-20181009-00167,"Stocks,Economy,Banking and Loans"
26,BBVA CEO sees lender's next CEO coming from within bank,2018-10-09 05:10:00,https://www.nasdaq.com/article/bbva-ceo-sees-lenders-next-ceo-coming-from-within-bank-20181009-00174,"Stocks,Economy,Banking and Loans"
27,Glastonbury 2019 proves to be a hit for Vivendi's See Tickets business,2018-10-09 05:05:00,https://www.nasdaq.com/article/glastonbury-2019-proves-to-be-a-hit-for-vivendis-see-tickets-business-20181009-00161,"Stocks,Economy,Banking and Loans"
28,ITV scraps plan to return to London headquarters - FT,2018-10-09 05:03:00,https://www.nasdaq.com/article/itv-scraps-plan-to-return-to-london-headquarters--ft-20181009-00160,"Stocks,Economy,Banking and Loans"
29,"IMF cuts world economic growth forecasts on tariff war, emerging market strains",2018-10-09 05:01:00,https://www.nasdaq.com/article/imf-cuts-world-economic-growth-forecasts-on-tariff-war-emerging-market-strains-20181009-00158,"Stocks,Economy,Banking and Loans"
30,China says efforts to control African swine fever outbreak in pivotal phase,2018-10-09 06:07:00,https://www.nasdaq.com/article/china-says-efforts-to-control-african-swine-fever-outbreak-in-pivotal-phase-20181009-00204,"Stocks,Economy,Banking and Loans"
31,Nearly 40% of Millennials Believe Retirement Saving Can Wait,2018-10-09 06:06:00,https://www.nasdaq.com/article/nearly-40-of-millennials-believe-retirement-saving-can-wait-cm1033914,"Stocks,Economy,Banking and Loans"
32,Axon Introduces Next-Generation Devices and Pricing,2018-10-09 06:04:00,https://www.nasdaq.com/article/axon-introduces-next-generation-devices-and-pricing-cm1033915,"Stocks,Economy,Banking and Loans"
33,FTSE 100 Listless; Resource Stocks Climb,2018-10-09 06:01:00,https://www.nasdaq.com/article/ftse-100-listless-resource-stocks-climb-20181009-00199,"Stocks,Economy,Banking and Loans"
34,When strangers spill their financial secrets,2018-10-09 06:00:00,https://www.nasdaq.com/article/when-strangers-spill-their-financial-secrets-20181009-00214,"Stocks,Economy,Banking and Loans"
35,This Is the Only Artificial Intelligence Stock You Need,2018-10-09 06:00:00,https://www.nasdaq.com/article/this-is-the-only-artificial-intelligence-stock-you-need-cm1033917,"Stocks,Economy,Banking and Loans"
